Categoría,Subcategoría,Nombre,Marca,Precio,Imagen (URL),Enlace,Es flexible
Despensa,Sin subcategoría,Duraznos En Mitades x 820 g,COMPASS,S/ 9.90,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10170896_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/116221936/duraznos-en-mitades-compass-x-820g/116221937?exp=tottus,No
Despensa,Sin subcategoría,Trozos de atún en aceite de girasol de 140 g,REAL,S/ 6.20,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42840490_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/116005874/trozos-de-atun-en-aceite-girasol-real-x-140gr/116005875?exp=tottus,No
Despensa,Sin subcategoría,Quinua 500 g,TESORO DEL CAMPO,S/ 10.20,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40640031_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/115923573/quinua-x-500gr-tesoro-del-campo/115923574?exp=tottus,No
Despensa,Sin subcategoría,Harina de Maca Amarilla 200 g,Sin marca,S/ 19.60,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41680491_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/114409956/harina-de-maca-amarilla-nuestra-salud-x-200gr/114409957?exp=tottus,No
Despensa,Sin subcategoría,Arroz Superior 1 kg,PAISANA,S/ 5.50,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41468390_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113711950/arroz-paisana-superior-x-1kg/113711951?exp=tottus,No
Despensa,Sin subcategoría,Gelatina Naranja 130 g,UNIVERSAL,S/ 4.30,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43085643_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/120309507/gelatina-de-naranja-universal-130g/120309509?exp=tottus,No
Despensa,Sin subcategoría,Mezcla Concentrada Leche Nestlé Topping x 100 g,NESTLE,S/ 3,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43433850_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/138463691/mezcla-concen-leche-nestle-topping-x100g/138463692?exp=tottus,No
Despensa,Sin subcategoría,Waffle Mix Belgian 794g,HUNGRY JACK,S/ 20.90,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43056045_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/119289691/hungry-jack-waffle-mix-belgian-794g/119289692?exp=tottus,No
Despensa,Sin subcategoría,Pancake Mix Chocolate Chips 794g,HUNGRY JACK,S/ 20.90,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43056046_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/119289725/hungry-jack-pancake-mix-chocolate-chips-794g/119289726?exp=tottus,Sí
Despensa,Sin subcategoría,Comino Molido Kariño 18 g,Sin marca,S/ 3.50,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40935204_1/width=240,height=240,quality=70,format=webp,fit=pad",https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/113712822/comino-molido-x-18gr/113712823?exp=tottus,No
